number,letter,distance,x,y,label_x,label_y
1,,448.85361111111104,-4542.700502171225,1034.600590310922,-5034.343972020436,943.5692849559628
2,,605.4083333333333,-4556.856022248807,2612.874896614133,-4071.635138293861,2733.5425964098167
3,,860.2002777777776,-6060.638525384505,4636.633543270209,-6552.650261044257,4547.614152275446
4,,1034.7244416862923,-4933.15233154307,5633.971631327864,-4452.850151455903,5772.93139458153
5,,1223.231254585799,-6672.548676145474,6003.079338840032,-6852.585591136559,6469.5412442948
6,,1955.6035326864535,-10925.621256216073,250.2397426139892,-11394.548575106332,76.72556567621702
7,,2183.2644444444445,-9514.810147510358,-898.8612953318737,-9120.84875853202,-1206.7483265531637
8,,2515.8855555555556,-12380.598598887238,329.462601750073,-12791.998733757116,45.29728185856155
9,,3043.3708333333334,-13145.016789127909,5438.452042643336,-13584.031238761228,5677.755851666833
10,,3594.014166666666,-8030.346968509446,7019.851314328222,-7837.657435196683,6558.472138647622
11,,3691.586207874528,-7164.932290774834,7289.381127237189,-7175.821340818547,7789.26254176382
12,,3836.3113888888884,-5727.446810672311,7141.161480605953,-5798.162486701705,7636.13551342354
13,,3970.578055555555,-4432.38085387823,7626.436473671193,-4352.634152792205,8120.035970901383
14,,4123.1548827210845,-3382.3263321414997,6692.845672667548,-3744.2559933082034,6347.871876028215
15,,4987.957777777779,4013.021841355736,2540.552226730058,4504.616525302431,2631.8466225895518
16,,5430.749046607409,1014.813448565176,-585.3688232066075,568.0134759717374,-360.9366853775914
17,,5521.4755555555585,1196.251918847959,-1397.1551315637737,1685.0805900081202,-1292.0526565606078
18,,5674.283013806102,186.2498662566074,-2304.2378813812747,216.20753143755653,-2803.3396127917217
