driver,team,lap,lap_time_s,compound,tyre_age,stint,pit_in,pit_out,track_status,position,accurate,clean
NOR,McLaren,1,100.454,MEDIUM,1.0,1.0,False,False,12,7.0,False,False
NOR,McLaren,2,94.836,MEDIUM,2.0,1.0,False,False,12,7.0,True,False
NOR,McLaren,3,95.241,MEDIUM,3.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,4,95.116,MEDIUM,4.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,5,95.154,MEDIUM,5.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,6,94.875,MEDIUM,6.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,7,95.086,MEDIUM,7.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,8,95.281,MEDIUM,8.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,9,95.62,MEDIUM,9.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,10,95.286,MEDIUM,10.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,11,95.318,MEDIUM,11.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,12,95.442,MEDIUM,12.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,13,95.147,MEDIUM,13.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,14,95.09,MEDIUM,14.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,15,95.14,MEDIUM,15.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,16,95.278,MEDIUM,16.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,17,95.716,MEDIUM,17.0,1.0,False,False,1,7.0,True,True
NOR,McLaren,18,94.741,MEDIUM,18.0,1.0,False,False,1,6.0,True,True
NOR,McLaren,19,94.581,MEDIUM,19.0,1.0,False,False,1,6.0,True,True
NOR,McLaren,20,94.722,MEDIUM,20.0,1.0,False,False,1,5.0,True,True
NOR,McLaren,21,94.58,MEDIUM,21.0,1.0,False,False,1,5.0,True,True
NOR,McLaren,22,105.666,MEDIUM,22.0,1.0,False,False,167,5.0,False,False
NOR,McLaren,23,94.73,MEDIUM,23.0,1.0,False,False,1,5.0,True,True
NOR,McLaren,24,94.882,MEDIUM,24.0,1.0,False,False,1,3.0,True,True
NOR,McLaren,25,94.519,MEDIUM,25.0,1.0,False,False,1,3.0,True,True
NOR,McLaren,26,94.724,MEDIUM,26.0,1.0,False,False,1,3.0,True,True
NOR,McLaren,27,94.525,MEDIUM,27.0,1.0,False,False,1,3.0,True,True
NOR,McLaren,28,94.291,MEDIUM,28.0,1.0,True,False,1,3.0,False,False
NOR,McLaren,29,114.51,HARD,1.0,2.0,False,True,1,7.0,False,False
NOR,McLaren,30,92.901,HARD,2.0,2.0,False,False,1,6.0,True,True
NOR,McLaren,31,93.454,HARD,3.0,2.0,False,False,1,6.0,True,True
NOR,McLaren,32,93.196,HARD,4.0,2.0,False,False,1,6.0,True,True
NOR,McLaren,33,93.33,HARD,5.0,2.0,False,False,1,6.0,True,True
NOR,McLaren,34,93.468,HARD,6.0,2.0,False,False,1,6.0,True,True
NOR,McLaren,35,93.532,HARD,7.0,2.0,False,False,1,5.0,True,True
NOR,McLaren,36,93.514,HARD,8.0,2.0,False,False,1,5.0,True,True
NOR,McLaren,37,93.913,HARD,9.0,2.0,False,False,1,5.0,True,True
NOR,McLaren,38,99.35,HARD,10.0,2.0,True,False,126,5.0,False,False
NOR,McLaren,39,122.902,MEDIUM,7.0,3.0,False,True,671,6.0,False,False
NOR,McLaren,40,92.759,MEDIUM,8.0,3.0,False,False,1,6.0,True,True
NOR,McLaren,41,93.022,MEDIUM,9.0,3.0,False,False,1,6.0,True,True
NOR,McLaren,42,93.302,MEDIUM,10.0,3.0,False,False,1,5.0,True,True
NOR,McLaren,43,93.167,MEDIUM,11.0,3.0,False,False,1,5.0,True,True
NOR,McLaren,44,92.775,MEDIUM,12.0,3.0,False,False,1,5.0,True,True
NOR,McLaren,45,92.625,MEDIUM,13.0,3.0,False,False,1,5.0,True,True
NOR,McLaren,46,93.028,MEDIUM,14.0,3.0,False,False,1,5.0,True,True
NOR,McLaren,47,98.834,MEDIUM,15.0,3.0,False,False,124,4.0,False,False
NOR,McLaren,48,124.605,MEDIUM,16.0,3.0,True,False,4,4.0,False,False
NOR,McLaren,49,142.722,SOFT,4.0,4.0,False,True,4,4.0,False,False
NOR,McLaren,50,144.647,SOFT,5.0,4.0,False,False,4,4.0,False,False
NOR,McLaren,51,,SOFT,6.0,4.0,False,False,4,4.0,False,False
NOR,McLaren,52,142.749,SOFT,7.0,4.0,False,False,4,4.0,False,False
GAS,Alpine,1,105.047,MEDIUM,1.0,1.0,False,False,12,12.0,False,False
GAS,Alpine,2,97.382,MEDIUM,2.0,1.0,False,False,12,13.0,True,False
GAS,Alpine,3,96.022,MEDIUM,3.0,1.0,False,False,1,12.0,True,True
GAS,Alpine,4,96.294,MEDIUM,4.0,1.0,False,False,1,12.0,True,True
GAS,Alpine,5,97.169,MEDIUM,5.0,1.0,False,False,1,12.0,True,True
GAS,Alpine,6,96.336,MEDIUM,6.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,7,97.056,MEDIUM,7.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,8,97.256,MEDIUM,8.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,9,96.887,MEDIUM,9.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,10,96.162,MEDIUM,10.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,11,96.225,MEDIUM,11.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,12,96.165,MEDIUM,12.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,13,96.45,MEDIUM,13.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,14,96.146,MEDIUM,14.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,15,95.989,MEDIUM,15.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,16,96.296,MEDIUM,16.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,17,96.175,MEDIUM,17.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,18,96.323,MEDIUM,18.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,19,95.953,MEDIUM,19.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,20,95.675,MEDIUM,20.0,1.0,False,False,1,11.0,True,True
GAS,Alpine,21,99.978,MEDIUM,21.0,1.0,False,False,16,11.0,False,False
